species,concentration_index,endemicity_index
Acrothamnion butleriae,0.020833333333333332,0.0
Acrotrema arnottianum,0.08333333333333333,1.3321790402101223
Actaea cimicifuga,0.041666666666666664,0.5004024235381879
Actaea spicata,0.020833333333333332,0.0
Actephila excelsa,0.3125,2.383702735774552
Actinidia callosa,0.125,1.6674619334292948
Actinidia kolomikta,0.020833333333333332,0.0
Actinidia strigosa,0.041666666666666664,0.6283829567464145
Actinidia venosa,0.020833333333333332,0.0
Actiniopteris australis,0.020833333333333332,0.0
Actiniopteris radiata,0.2708333333333333,2.1135198534313946
Actinocarya acaulis,0.0625,0.43964055304499716
Actinocarya tibetica,0.041666666666666664,0.34883209584303193
Actinodaphne angustifolia,0.08333333333333333,1.2130075659799042
Actinodaphne bourdillonii,0.08333333333333333,0.6030809768498276
Actinodaphne campanulata,0.041666666666666664,0.6365141682948128
Actinodaphne glomerata,0.020833333333333332,0.0
Actinodaphne lanceolata,0.125,1.385336849375801
Actinodaphne lawsonii,0.0625,0.9002560512685369
Actinodaphne madraspatana,0.041666666666666664,0.6931471805599453
Actinodaphne obovata,0.020833333333333332,0.0
Actinodaphne reticulata,0.020833333333333332,0.0
Actinodaphne salicina,0.020833333333333332,0.0
Actinodaphne tadulingamii,0.0625,0.9002560512685369
Actinodaphne wightiana,0.08333333333333333,0.6376754185003557
Actinoscirpus grossus,0.041666666666666664,0.6931471805599453
Actinostachys digitata,0.020833333333333332,0.0
Actinostemma tenerum,0.020833333333333332,0.0
Actinothuidium hookeri,0.041666666666666664,0.6365141682948128
Acystopteris tenuisecta,0.020833333333333332,0.0
Adansonia digitata,0.2708333333333333,2.061598479121041
Adenanthera pavonina,0.375,2.242247414353802
Adenia cardiophylla,0.020833333333333332,0.0
Adenia heterophylla,0.0625,1.0986122886681096
Adenia hondala,0.08333333333333333,1.2047933096947843
Adenia penangiana,0.0,0.0
Adenium obesum,0.14583333333333334,1.6151195500604119
Adenocaulon himalaicum,0.0625,1.0986122886681096
Adenochlaena leucocephala,0.020833333333333332,0.0
Adenoon indicum,0.0625,0.8556886672556694
Adenophora himalayana,0.041666666666666664,0.6931471805599453
Adenophora khasiana,0.08333333333333333,1.3321790402101223
Adenosma indiana,0.020833333333333332,0.0
Adenostemma lavenia,0.2916666666666667,2.510529247162029
Adenostemma madurense,0.020833333333333332,0.0
Adenostemma viscosum,0.0625,1.0397207708399179
Adiantum aethiopicum,0.041666666666666664,0.6931471805599453
Adiantum alarconianum,0.020833333333333332,0.0
Adiantum capillus-veneris,0.4166666666666667,2.68467580706435
Adiantum caudatum,0.20833333333333334,2.099292799933921
Adiantum concinnum,0.041666666666666664,0.6365141682948128
Adiantum edgeworthii,0.22916666666666666,2.215405675036807
Adiantum flabellulatum,0.020833333333333332,0.0
Adiantum hispidulum,0.0625,0.8662168219342938
Adiantum incisum,0.10416666666666667,1.3522093992338282
Adiantum latifolium,0.0625,0.9002560512685369
Adiantum lunulatum,0.08333333333333333,1.3862943611198906
Adiantum macrophyllum,0.020833333333333332,0.0
Adiantum pedatum,0.041666666666666664,0.6931471805599453
Adiantum philippense,0.4375,2.1905687349384992
Adiantum raddianum,0.08333333333333333,1.1209503926735835
Adiantum tenerum,0.041666666666666664,0.6931471805599453
Adiantum tetraphyllum,0.0,0.0
Adiantum tibeticum,0.020833333333333332,0.0
Adiantum trapeziforme,0.041666666666666664,0.6931471805599453
Adiantum venustum,0.1875,1.9047688036553065
Adiantum zollingeri,0.0625,1.0397207708399179
Adina cordifolia,0.2916666666666667,2.3202986926822318
Adinobotrys atropurpureus,0.020833333333333332,0.0
Adonidia merrillii,0.10416666666666667,1.6094379124341005
Adonis aestivalis,0.041666666666666664,0.6365141682948128
Adonis chrysocyatha,0.0625,1.0361987848192837
Adonis microcarpa,0.041666666666666664,0.6931471805599453
Adoxa moschatellina,0.08333333333333333,1.277034259466139
Aechmea gamosepala,0.041666666666666664,0.6365141682948128
Aegialitis rotundifolia,0.041666666666666664,0.6365141682948128
Aegiceras corniculatum,0.20833333333333334,1.5671915805060024
Aegilops tauschii,0.041666666666666664,0.6931471805599453
Aeginetia acaulis,0.0625,0.7902679680745903
Aeginetia indica,0.3125,2.174938411155883
Aeginetia pedunculata,0.041666666666666664,0.5623351446188083
Aegle marmelos,0.5833333333333334,2.51517233962818
Aegopodium kashmiricum,0.0625,1.0549201679861442
Aeluropus lagopoides,0.1875,1.844313622022747
Aenhenrya rotundifolia,0.020833333333333332,0.0
Aerides crispa,0.22916666666666666,1.7703794437383298
Aerides emericii,0.020833333333333332,0.0
Aerides maculosa,0.16666666666666666,1.492299455666346
Aerides multiflora,0.125,1.6094379124341005
Aerides odorata,0.1875,1.8722742556735086
Aerides odoratum,0.020833333333333332,0.0
Aerides ringens,0.125,1.4861337451174776
Aerides rosea,0.14583333333333334,1.8310204811135165
Aerobryidium aureonitens,0.020833333333333332,0.0
Aerobryidium auronitens,0.041666666666666664,0.6365141682948128
Aerobryidium filamentosum,0.0625,1.0397207708399179
Aerobryopsis longissima,0.0625,1.0549201679861442
Aerobryopsis membranacea,0.041666666666666664,0.6365141682948128
Aerobryum speciosum,0.020833333333333332,0.0
Aerva javanica,0.25,1.9975656053386703
Aeschynanthus acuminatus,0.08333333333333333,1.2130075659799042
Aeschynanthus bracteatus,0.14583333333333334,1.6681739719973971
Aeschynanthus fecundus,0.020833333333333332,0.0
Aeschynanthus gracilis,0.08333333333333333,1.1490596969706202
Aeschynanthus hookeri,0.125,1.7917594692280547
Aeschynanthus linearifolius,0.041666666666666664,0.6931471805599453
Aeschynanthus micranthus,0.125,1.7917594692280547
Aeschynanthus parasiticus,0.10416666666666667,1.5607104090414063
Aeschynanthus parviflorus,0.14583333333333334,1.6135723631164662
Aeschynanthus perrottetii,0.10416666666666667,1.1290697820836402
Aeschynanthus reiekensis,0.020833333333333332,0.0
Aeschynanthus superbus,0.0625,0.796311640173813
Aeschynomene americana,0.3125,2.233120434134577
Aeschynomene aspera,0.0625,1.0102914577233022
Aeschynomene indica,0.3125,2.3090672777859607
Aesculus assamica,0.125,1.6726254461503207
Aesculus hippocastanum,0.041666666666666664,0.6931471805599453
Aesculus indica,0.3125,1.9863260430351892
Aethusa cynapium,0.020833333333333332,0.0
Aganope agastyamalayana,0.020833333333333332,0.0
Aganope heptaphylla,0.041666666666666664,0.6931471805599453
Aganope thyrsiflora,0.10416666666666667,1.4750763110546947
Aganosma cymosa,0.10416666666666667,1.3778195080390327
Aganosma heynei,0.10416666666666667,1.5607104090414063
Aganosma wallichii,0.020833333333333332,0.0
